Info,Alias
Ukraine,
Ukraine,
one of the Kuril Islands,
Ukraine,
Bakhmut,
Ukraine,
the Svatove-Kreminna line,
Bakhmut,
Bakhmut,
the outskirts of Donetsk City,
an area on the east (left) bank of the Dnipro River,
Russia,
